Movie_Id,Title,Date_Published,Date_of_published,Duration,Country,Languages,Production_Company,Genre,Director,Worldwide_Gross_Income,Average_Rating
30,Bosko's Parlor Pranks,27-07-1962,27-07-1962,281,Greece,Spanish,Yamia,Drama,Nerte Hinckley,Euro,9.2
31,The Trans-Atlantic Mystery,20-12-1944,20-12-1944,284,Thailand,French,Riffpath,Drama,Madalena Bolin,Baht,1.7
32,Beginning of the Great Revival (a.k.a. The Founding of a Party),17-01-1988,17-01-1988,24,Ukraine,Chinese,Mybuzz,Comedy,Weylin Devil,Hryvnia,8.4
33,Fargo,27-08-2015,27-08-2015,133,France,English,Youtags,Horror,Taryn Ginnety,Euro,4.6
34,Day Is Done,03-11-2016,11-03-2016,206,Peru,German,Yotz,Comedy,Rees Chapelle,Sol,1
35,Winnie the Pooh and a Day for Eeyore,22-05-1925,22-05-1925,81,China,Chinese,Kayveo,Drama,Rodolfo Kelberer,Yuan Renminbi,5
36,Kids of the Round Table,18-02-1956,18-02-1956,160,Russia,English,Wikibox,Action,Puff Palombi,Ruble,7.7
37,Balls of Fury,06-10-1900,10-06-1900,86,Brazil,Chinese,Flipstorm,Drama,Cheston Wasiela,Real,3.3
38,"New Barbarians, The (I nuovi barbari)",02-06-1959,06-02-1959,119,Laos,Spanish,Avamm,Drama,Amil Lightbourne,Kip,2.3
39,Why Stop Now,03-06-1955,06-03-1955,178,Sweden,English,Tazz,Comedy,Dexter Blakey,Krona,3.5
40,"Climb, The",23-10-1965,23-10-1965,206,Guatemala,Spanish,Cogidoo,Horror,Howey Pedroli,Quetzal,2.8
41,Stranded,14-04-2019,14-04-2019,78,United States,German,Meetz,Action,Anabella Anmore,Dollar,7.7
42,In Bed (En la cama),13-05-1952,13-05-1952,22,Brazil,Chinese,Zoomcast,Drama,Nels Pendrid,Real,5.4
43,"Black Sleep, The",12-06-1957,06-12-1957,201,Ukraine,Spanish,Twitterbeat,Romance,Isidor Heffer,Hryvnia,1.1
44,David and Lisa,26-09-1918,26-09-1918,186,Netherlands,Chinese,Fanoodle,Drama,Jolene O'Daly,Euro,4
45,"Names of Love, The (Le nom des gens)",06-09-2015,09-06-2015,171,Sudan,French,Topiclounge,Horror,Cosmo Fell,Pound,8.1
46,Endgame: Blueprint for Global Enslavement,24-01-2006,24-01-2006,41,Argentina,Chinese,Dynazzy,Horror,Jennie Showalter,Peso,4.7
47,"Salvation, The",07-08-1906,08-07-1906,229,China,Chinese,Buzzster,Horror,Oralie Blowick,Yuan Renminbi,4.4
48,Deadgirl,19-01-1926,19-01-1926,85,Venezuela,French,Leenti,Comedy,Ferdie Panswick,Bolivar,4
49,"Like Father, Like Son",09-02-2009,02-09-2009,161,Cape Verde,German,Trudoo,Drama,Herta Hessel,Escudo,4.6
50,"Hart of London, The",09-06-1917,06-09-1917,193,France,Chinese,Blogspan,Horror,Dallon Pesselt,Euro,8.3
51,Bullet in the Head,28-04-1992,28-04-1992,179,Nigeria,French,Skyba,Horror,Christel Brimmacombe,Naira,3.3
52,Rings on Her Fingers,08-02-1986,02-08-1986,170,Indonesia,English,Yakijo,Action,Stephen Brock,Rupiah,9
53,"Condemned, The",24-12-1919,24-12-1919,145,Indonesia,Chinese,Shufflester,Romance,Abba Brickwood,Rupiah,6.9
54,"Stolen Life, A",16-06-1989,16-06-1989,173,Russia,Spanish,Lazzy,Comedy,Melody Raddenbury,Ruble,5.9
55,"November Man, The",15-02-1995,15-02-1995,275,Myanmar,German,Skinder,Romance,Dre Harry,Kyat,9.8
56,"Ballad of Jack and Rose, The",19-08-2000,19-08-2000,56,Indonesia,English,Gabcube,Drama,Beckie Woolrich,Rupiah,3.2
57,Saving Grace,29-09-1938,29-09-1938,192,Indonesia,Spanish,Blogpad,Comedy,Layton Sibbe,Rupiah,3.8
58,My Wife Is a Gangster 2 (Jopog manura 2: Dolaon jeonseol),15-03-1923,15-03-1923,123,Hungary,French,Twitterlist,Horror,Rudy Humbell,Forint,4.2
59,Elvis and Me,03-09-1946,09-03-1946,54,Ecuador,Spanish,Brainverse,Horror,Abbey Jecock,Dollar,7.8
60,"Rookie, The",11-01-2016,01-11-2016,288,Argentina,Spanish,Edgetag,Drama,Demetri Bowle,Peso,9.4
61,"Shrimp on the Barbie, The",21-05-2017,21-05-2017,9,Afghanistan,French,Skipstorm,Drama,Dannie Sokell,Afghani,1.3
62,Intohimon vallassa,18-01-1966,18-01-1966,171,Albania,German,Meembee,Comedy,Gavra Reinbech,Lek,4.1
63,"Battle of China, The (Why We Fight, 6)",15-03-1997,15-03-1997,138,China,French,Voonder,Horror,Beaufort Spry,Yuan Renminbi,2.9
64,Warsaw Bridge (Pont de Vars?˝via),17-12-1906,17-12-1906,219,United States,German,Yata,Romance,Aline Faulo,Dollar,9.8
65,Cast a Giant Shadow,15-02-1968,15-02-1968,153,Portugal,French,Abatz,Comedy,Albie Bedells,Euro,3.4
66,Rocky,26-11-2003,26-11-2003,296,China,English,Zoozzy,Comedy,Gus Wille,Yuan Renminbi,2.7
67,Sister My Sister,09-03-1920,03-09-1920,250,Peru,Chinese,Thoughtworks,Comedy,Wilt Feehely,Sol,3
68,"Most Wanted Man, A",17-08-1928,17-08-1928,30,Macedonia,Spanish,Leenti,Romance,Jessee Kytter,Denar,3.8
69,Living Out Loud,18-04-1973,18-04-1973,132,Poland,Spanish,Twitterworks,Horror,Linn Dooney,Zloty,9.3
70,Most Likely to Succeed,10-08-1958,08-10-1958,290,China,French,Mybuzz,Action,Haley Labusquiere,Yuan Renminbi,4.3
71,Monty Python's Life of Brian,11-05-1945,05-11-1945,167,Indonesia,English,Zazio,Action,Anson Lightewood,Rupiah,2.1
72,"Good, the Bad, the Weird, The (Joheunnom nabbeunnom isanghannom)",23-07-1987,23-07-1987,173,Indonesia,Spanish,Twimbo,Drama,Delia Whitworth,Rupiah,9.8
73,I Feel Sleepy,13-06-1956,13-06-1956,205,Sweden,German,Tambee,Romance,Celia Horlock,Krona,4.1
74,Kronos (a.k.a. Captain Kronos: Vampire Hunter),11-07-1900,07-11-1900,16,Costa Rica,French,Twitterbridge,Action,Agna Margerrison,Colon,9.7
75,Merchants of Doubt,16-11-1977,16-11-1977,168,Indonesia,English,Linklinks,Horror,Juliette Tressler,Rupiah,7.2
76,Double Dragon,13-07-1943,13-07-1943,85,France,Chinese,Thoughtbridge,Drama,Ashil Thorald,Euro,3.2
77,"Lodger: A Story of the London Fog, The",18-08-2012,18-08-2012,238,Colombia,French,Divavu,Horror,Darsie Bagott,Peso,7.4
78,"1000 Eyes of Dr. Mabuse, The (Die 1000 Augen des Dr. Mabuse)",23-05-2005,23-05-2005,250,Indonesia,Spanish,Yombu,Romance,Nehemiah Stading,Rupiah,1.2
79,Compulsion,05-12-1932,12-05-1932,269,Canada,French,Wikido,Action,Lynna Ortelt,Dollar,5.3
80,True Grit,15-05-1962,15-05-1962,205,Israel,Chinese,Topicstorm,Romance,Shanda Grimbaldeston,Shekel,7.9
81,Halloween II,07-01-1978,01-07-1978,145,Colombia,German,Zoomcast,Drama,Averell Joscelin,Peso,7.1
82,Shrink,21-01-2013,21-01-2013,111,Portugal,Spanish,Flashpoint,Comedy,Winfred Bicker,Euro,9.9
83,Funny About Love,09-03-1945,03-09-1945,46,China,English,Yacero,Romance,Rustin Grindlay,Yuan Renminbi,4.2
84,Popular Music (Popul??rmusik fr?ùn Vittula),21-08-1999,21-08-1999,20,China,French,Voonix,Drama,Paulie Bentote,Yuan Renminbi,10
85,Show Me Love (Fucking ??m?ùl),23-07-1946,23-07-1946,13,China,English,Trupe,Drama,Filberte Ingall,Yuan Renminbi,1.7
86,Double Indemnity,26-01-1941,26-01-1941,137,Ukraine,English,Zoomdog,Drama,Micheil Wellman,Hryvnia,9.3
87,Geronimo: An American Legend,02-06-1919,06-02-1919,227,China,English,Bubblebox,Drama,Archibaldo Lotze,Yuan Renminbi,8.3
88,Midnight Cowboy,22-06-1991,22-06-1991,39,Netherlands,French,Demivee,Comedy,Galina Zoppo,Euro,4.3
89,"Stranger in Town, A",23-02-1980,23-02-1980,22,Greece,French,Kazio,Action,Evered Margetts,Euro,6.4
90,Cluny Brown,26-12-1957,26-12-1957,177,Indonesia,French,Meemm,Action,Burke Zoppo,Rupiah,8.9
91,Nanking,30-07-1907,30-07-1907,90,Ukraine,French,Trudoo,Action,Terra Marquis,Hryvnia,9.5
92,Dead Time: Kala,11-03-1937,03-11-1937,61,Argentina,Spanish,Realmix,Romance,Nikkie Davitashvili,Peso,8.5
93,Men Without Women,15-04-1972,15-04-1972,140,South Africa,English,Yakijo,Drama,Mariquilla Emerine,Rand,9.6
94,Two Lives (Zwei Leben),26-08-1946,26-08-1946,252,Indonesia,Chinese,Brainbox,Horror,Karoline Annatt,Rupiah,1.5
95,Eat,11-03-1906,03-11-1906,134,Czech Republic,Spanish,BlogXS,Comedy,Stephani Glennie,Koruna,9.1
96,Children of Paradise (Les enfants du paradis),06-01-1926,01-06-1926,184,Indonesia,Spanish,Edgeify,Drama,Ailey Brobyn,Rupiah,8.9
97,Slow Burn,03-05-1985,05-03-1985,244,United States,English,Kaymbo,Comedy,Valeria Van den Dael,Dollar,2.7
98,Mr. Jealousy,15-02-1949,15-02-1949,162,Sudan,French,Vinder,Comedy,Ricki McSperron,Pound,5.8
99,Heathcliff: The Movie,06-05-1949,05-06-1949,51,Indonesia,English,Kazu,Romance,Neysa Buckell,Rupiah,9.1
100,No Good Deed (a.k.a. The House on Turk Street),25-07-1902,25-07-1902,167,Czech Republic,German,Voonte,Drama,Vale Denekamp,Koruna,3
101,Provocateur (Prowokator),07-07-1915,07-07-1915,135,Sweden,Chinese,Shufflester,Comedy,Hestia Tilston,Krona,4.8
102,What's Cooking?,08-07-1930,07-08-1930,167,Czech Republic,English,Chatterbridge,Drama,Cordie Notti,Koruna,9.2
103,Original Sin,22-10-1966,22-10-1966,92,Indonesia,French,Photolist,Romance,Claiborne Cass,Rupiah,8.7
104,BlinkyTM,18-05-1984,18-05-1984,77,Palestinian Territory,English,Gabtype,Drama,Haily Weld,Shekel,7.3
105,Meat Love,27-12-1904,27-12-1904,2,Latvia,German,Agimba,Comedy,Candide Jowers,Euro,7.7
106,Heart of Glass (Herz aus Glas),01-05-1944,05-01-1944,104,Vietnam,German,Trilia,Comedy,Benni Spight,Dong,3.2
107,Hellraiser: Revelations,03-08-1901,08-03-1901,119,France,German,Tazzy,Horror,Grayce Garioch,Euro,2.7
108,"Big Bang, The",01-04-1912,04-01-1912,291,Portugal,Chinese,Trudeo,Comedy,Morgan Geoghegan,Euro,5.5
109,Time of Roses (Ruusujen aika),11-05-1920,05-11-1920,285,Russia,Chinese,Edgewire,Comedy,Harriott Covill,Ruble,7.5
110,Article 99,15-09-1957,15-09-1957,263,Mongolia,German,Gabtune,Comedy,Aubree Hardstaff,Tugrik,6.4
111,I Live My Life,20-02-1920,20-02-1920,177,Hungary,German,Yata,Drama,Dorris Kluge,Forint,9.2
112,"Stupids, The",04-03-1906,03-04-1906,156,France,German,Agimba,Drama,Jilli Klimkin,Euro,3.1
113,"Homem Que Desafiou o Diabo, O",10-01-1988,01-10-1988,234,Albania,French,Dabfeed,Action,Pru Robertacci,Lek,1.2
114,Toto le h??ros,16-11-1973,16-11-1973,29,Norway,German,Flashspan,Action,Florentia Sylett,Krone,3
115,Banklady,16-06-2008,16-06-2008,38,Pakistan,English,Mita,Comedy,Gonzales Spini,Rupee,3.1
116,One Trick Pony,12-01-1994,01-12-1994,300,Montenegro,English,Jabbertype,Romance,Jolyn Artist,Euro,2.7
117,Palme,14-07-2012,14-07-2012,246,Brazil,English,Blogspan,Comedy,Darla Nesbit,Real,6.3
118,"Hypothesis of the Stolen Painting, The (L'hypoth??se du tableau vol??)",21-05-2008,21-05-2008,156,China,English,Linklinks,Drama,Elvera Jerrolt,Yuan Renminbi,4.1
119,I Bought a Vampire Motorcycle,06-01-1958,01-06-1958,45,Taiwan,Chinese,Pixonyx,Action,Nertie Trammel,Dollar,2.9
120,"Warrior and the Sorceress, The",01-01-2022,01-01-2022,149,Philippines,Spanish,Pixonyx,Drama,Devondra Setchfield,Peso,8.8
121,"Animatrix, The",02-11-1925,11-02-1925,96,Russia,Spanish,Skidoo,Romance,Jessalin Dallaway,Ruble,8.1
122,"Chef in Love, A (Shekvarebuli kulinaris ataserti retsepti)",23-06-1917,23-06-1917,98,Philippines,Chinese,Livepath,Drama,Karyl Hayden,Peso,5.2
123,Century of the Dragon (Long zai bian yuan),13-12-1983,13-12-1983,223,Philippines,French,Skimia,Romance,Raynell Castiglioni,Peso,3.2
124,Fausto,01-11-2000,11-01-2000,142,Sweden,English,Centizu,Horror,Kurt Baigrie,Krona,7.4
125,London Conspiracy,13-11-1902,13-11-1902,86,Russia,English,Skyvu,Comedy,Farleigh Huxtable,Ruble,3.2
126,Naked Weapon (Chek law dak gung),24-07-1929,24-07-1929,296,Bosnia and Herzegovina,Spanish,Twiyo,Horror,Rockie Croneen,Marka,1.5
127,Edward Scissorhands,05-12-1907,12-05-1907,107,Argentina,French,Feedmix,Horror,Hansiain McIlwraith,Peso,7.5
128,"Grand, The",22-08-1967,22-08-1967,36,Niger,Chinese,Thoughtblab,Drama,Roderick Stonbridge,Franc,1.6
129,Malcolm X,16-04-1950,16-04-1950,20,Portugal,French,Yabox,Drama,Jarvis Feltham,Euro,4.1
130,Babies (B??b??(s)),19-04-1979,19-04-1979,294,China,French,Gabcube,Horror,Lenette McMakin,Yuan Renminbi,9.1
131,"Silent House, The (La casa muda)",28-02-1969,28-02-1969,145,Brazil,French,Edgewire,Horror,Faythe Cabrera,Real,4.6
132,Beautiful Darling,17-01-1909,17-01-1909,114,Morocco,Chinese,Jaloo,Romance,Corrine Burchnall,Dirham,9
133,Twilight,12-04-1901,04-12-1901,88,North Korea,French,Twinder,Romance,Raphael Gatiss,Won,6.1
134,Black Rain,03-06-1943,06-03-1943,257,China,French,Eabox,Horror,Lemmie Dobbing,Yuan Renminbi,4.1
135,"Flame and the Arrow, The",16-05-1953,16-05-1953,215,Reunion,Chinese,Trilia,Horror,Lorry Daventry,Euro,5.2
136,Lupin III: First Contact (Rupan Sansei: Faasuto Kontakuto),29-10-2010,29-10-2010,10,China,Chinese,Tanoodle,Romance,Lorenza Youtead,Yuan Renminbi,7.4
137,"Bonheur, Le",29-12-2006,29-12-2006,271,France,English,Jazzy,Horror,Clark Domenici,Euro,4.7
138,Broken English,20-09-2022,20-09-2022,151,Philippines,Spanish,Pixoboo,Drama,Hollyanne Hoxey,Peso,2.5
139,"Crow: City of Angels, The",30-12-1999,30-12-1999,163,China,French,Jabberbean,Drama,Decca Villar,Yuan Renminbi,1.5
140,Tracy Morgan: Black and Blue,15-09-2021,15-09-2021,114,France,French,Voonix,Horror,Tamiko Kells,Euro,6.3
141,Stalingrad,31-05-1984,31-05-1984,208,Paraguay,Spanish,Thoughtworks,Drama,Michele Cammocke,Guarani,5.9
142,"Foul King, The (Banchikwang)",17-12-1975,17-12-1975,148,China,Spanish,Katz,Romance,Franni Bradtke,Yuan Renminbi,7.7
143,California Suite,27-09-1905,27-09-1905,181,Philippines,French,Fadeo,Drama,Pieter Clapham,Peso,2.5
144,Unforgotten: Twenty-Five Years After Willowbrook,03-01-1929,01-03-1929,138,France,English,Gevee,Drama,Kennan Duffy,Euro,5.2
145,Love and Other Drugs,14-06-1980,14-06-1980,259,Czech Republic,Chinese,Eabox,Romance,Corette Meadway,Koruna,8.3
146,Drunken Master (Jui kuen),26-04-1991,26-04-1991,9,China,French,Brainsphere,Horror,Jackquelin Lapwood,Yuan Renminbi,6.5
147,Man of the House,25-06-1991,25-06-1991,159,Russia,Spanish,Trunyx,Comedy,Libbey Waddicor,Ruble,4.7
148,The Monkey King,29-08-2020,29-08-2020,86,Poland,German,Podcat,Romance,Harrietta Azam,Zloty,5.9
149,Suspicious River,06-05-1966,05-06-1966,116,Yemen,Chinese,Skivee,Drama,Shawn Kienle,Rial,6.5
150,"Brass Teapot, The",13-04-1937,13-04-1937,18,Philippines,English,Oloo,Horror,Claire Bourgourd,Peso,3.1
151,"Waiting Room, The",12-02-2022,02-12-2022,66,Reunion,German,Vidoo,Horror,Bobby Eykelhof,Euro,4.1
152,"Chase, The",11-11-1920,11-11-1920,119,Portugal,English,Eayo,Drama,Mikel Antonchik,Euro,9.7
153,On the Outs,14-06-2016,14-06-2016,35,Czech Republic,Chinese,Talane,Comedy,Keary Battaille,Koruna,7
154,"Grass Harp, The",29-03-1993,29-03-1993,175,Chile,French,Yakitri,Horror,Jacquelyn Delagnes,Peso,5.8
155,"White Hell of Pitz Palu, The (Die wei??e H??lle vom Piz Pal?¨) ",14-02-1911,14-02-1911,6,Indonesia,Chinese,Tagopia,Horror,Wiatt Itshak,Rupiah,6.3
156,Glen or Glenda,27-06-1926,27-06-1926,249,United States,German,Fatz,Drama,Willa Moss,Dollar,4.5
157,Blast of Silence,12-08-2004,08-12-2004,21,Canada,English,Edgeify,Drama,Tandy Konzel,Dollar,2.9
158,"Very Social Secretary, A",04-08-1960,08-04-1960,63,Bulgaria,French,Photobean,Drama,Beverlee Carter,Lev,8.7
159,That Kiljunen Family (Kiljusen herrasv??ki),09-06-1904,06-09-1904,136,Russia,French,Tagcat,Drama,Demetri Sparey,Ruble,1.2
160,Sam Peckinpah's West: Legacy of a Hollywood Renegade,10-03-1999,03-10-1999,33,Philippines,English,Thoughtstorm,Romance,Rozalin Curthoys,Peso,9.3
161,King's Ransom,07-05-2009,05-07-2009,126,China,French,Rhyloo,Drama,Auria Clell,Yuan Renminbi,3.2
162,"Jeffrey Dahmer Files, The",03-09-1957,09-03-1957,92,Armenia,Chinese,Tagchat,Comedy,Gwyneth Camacke,Dram,9.6
163,Diggers,26-04-1943,26-04-1943,89,Japan,Spanish,Wikizz,Horror,Annalise Balmadier,Yen,3.5
164,Once in the Life,24-09-1988,24-09-1988,254,Peru,German,Riffpath,Drama,Tate Drioli,Sol,2.1
165,Sabrina,14-04-2022,14-04-2022,231,China,Spanish,Twitterwire,Comedy,Raynard Middiff,Yuan Renminbi,5.3
166,"Five Heartbeats, The",15-03-2010,15-03-2010,265,Japan,English,Meeveo,Romance,Fanchette Naptin,Yen,2.2
167,Satisfaction (a.k.a. Girls of Summer),02-02-2014,02-02-2014,218,Poland,German,Meevee,Romance,Kaine Budgett,Zloty,1.1
168,Justin and the Knights of Valour,24-05-2013,24-05-2013,285,China,Spanish,Lazzy,Romance,Avictor Rickword,Yuan Renminbi,4.2
169,"Scorpion King, The",07-07-1940,07-07-1940,261,Albania,Chinese,Dabshots,Drama,Dmitri Hiley,Lek,4.8
170,8MM,28-05-1955,28-05-1955,107,Australia,Chinese,Zoomdog,Action,Lazaro Emig,Dollar,9.3
171,None But the Lonely Heart,28-08-1940,28-08-1940,185,France,English,Eabox,Drama,Sybyl Wonfar,Euro,8.6
172,"Sword of Doom, The (Dai-bosatsu t??ge)",12-03-1922,03-12-1922,187,Canada,French,Mynte,Comedy,Hube Draisey,Dollar,2.1
173,Summer of '42,01-04-1942,04-01-1942,134,Greece,Spanish,Latz,Comedy,Kati Stoppe,Euro,8.5
174,Honeymoon in Vegas,22-08-1915,22-08-1915,264,Trinidad and Tobago,German,Meezzy,Drama,Tyler Brash,Dollar,5.1
175,The Disappeared,09-05-1985,05-09-1985,27,Brazil,English,Omba,Horror,Jobyna Kinge,Real,4.6
176,Lady Terminator (Pembalasan ratu pantai selatan),04-02-1985,02-04-1985,294,China,Spanish,Skyble,Horror,Florry Snufflebottom,Yuan Renminbi,5.1
177,If Footmen Tire You What Will Horses Do?,13-12-1917,13-12-1917,280,China,English,Layo,Action,Brunhilde Bundock,Yuan Renminbi,9.4
178,Star Kid,24-02-1917,24-02-1917,235,China,Chinese,Twinder,Drama,Waylin Meeke,Yuan Renminbi,5.8
179,Patrice O'Neal: Elephant in the Room,16-01-2015,16-01-2015,184,Finland,English,Devpoint,Romance,Constance Wetwood,Euro,6.6
180,"Sicilian, The",21-02-1908,21-02-1908,274,Myanmar,Chinese,Topiclounge,Action,Alvina Trafford,Kyat,1.1
181,"Farewell to Arms, A",22-11-2002,22-11-2002,232,Japan,Chinese,Skynoodle,Action,Hendrika Lightollers,Yen,3
182,Asphalt,30-01-2017,30-01-2017,45,Greece,Chinese,Aimbu,Drama,Mordecai Cuerdale,Euro,3.4
183,Illustrious Corpses (Cadaveri eccellenti),01-01-2018,01-01-2018,95,Indonesia,Spanish,Aivee,Romance,Cary O'Gaven,Rupiah,7.6
184,"Affair of the Heart, An",23-02-1958,23-02-1958,230,Russia,French,Quimba,Drama,Deerdre Haxell,Ruble,1.3
185,Hello! How Are You? (Buna! Ce faci?),23-05-1952,23-05-1952,99,Philippines,English,Quaxo,Drama,Cleo Huban,Peso,1.3
186,Cul-de-sac,05-03-2009,03-05-2009,238,Azerbaijan,English,Wikizz,Comedy,Debbie Weekly,Manat,3.5
187,"Little Thief, The (Le petit voleur)",09-06-1959,06-09-1959,53,Chile,French,Livepath,Comedy,Anny Welman,Peso,5.2
188,"Pixar Story, The",05-11-1975,11-05-1975,228,Peru,German,Twimbo,Horror,Sallie Bagger,Sol,6.8
189,"Gleaners & I, The (Les glaneurs et la glaneuse)",10-11-2005,11-10-2005,23,Ukraine,German,Voomm,Drama,Kellen Santora,Hryvnia,8.7
190,Salome's Last Dance,10-09-1977,09-10-1977,94,Portugal,Chinese,Dynazzy,Action,Carrol Rolles,Euro,6.8
191,Teenagers from Outer Space,10-03-1943,03-10-1943,244,Canada,English,Avaveo,Action,Carita Kiff,Dollar,4.7
192,Cowboy del Amor,28-09-1953,28-09-1953,59,Brazil,Chinese,Divanoodle,Action,Beverie Rolfo,Real,1.9
193,Magnificent Obsession,02-07-1936,07-02-1936,110,Indonesia,English,Realcube,Action,Jamima Wallentin,Rupiah,7.8
194,Armageddon 2012,26-10-2004,26-10-2004,22,Ethiopia,Chinese,Skinder,Romance,Florence Stickley,Birr,7.3
195,"Swinger, The",18-04-1910,18-04-1910,189,China,Spanish,Divavu,Drama,Izaak Willshire,Yuan Renminbi,7.2
196,"Burial Ground (a.k.a. Zombie Horror) (a.k.a. Zombie 3) (Notti del Terrore, Le)",07-01-1969,01-07-1969,116,China,French,Oyoyo,Action,Kirsten Deeney,Yuan Renminbi,6.6
197,P.S. I Love You,17-01-2011,17-01-2011,19,Albania,German,Realpoint,Romance,Fabe Delouch,Lek,9.2
198,Trailer Park of Terror,30-10-1957,30-10-1957,218,Lebanon,French,Yamia,Horror,Annabelle Ferrieroi,Pound,4.2
199,Capricorn One,27-07-2001,27-07-2001,219,France,Chinese,Photolist,Romance,Margette Sacks,Euro,2.1
200,Long Way Round,23-08-1930,23-08-1930,10,Russia,English,Photolist,Horror,Umeko Pendre,Ruble,1
201,Absence of Malice,31-03-1917,31-03-1917,35,Finland,French,Jabbersphere,Horror,Lou Fenech,Euro,1.3
202,I Accuse,19-12-2014,19-12-2014,272,Sweden,Chinese,Lazz,Drama,Rand O'Feeny,Krona,1.3
203,"Year My Parents Went on Vacation, The (O Ano em Que Meus Pais Sa??ram de F??rias)",09-11-1999,11-09-1999,216,Venezuela,Spanish,Lajo,Action,Korella Gadie,Bolivar,7.8
204,"Burning Hot Summer, A (Un ??t?? br?Ølant)",06-05-2017,05-06-2017,45,Poland,Spanish,Feedspan,Action,Karil Flippelli,Zloty,2.1
205,Barefoot (Barfuss),07-03-1918,03-07-1918,80,Argentina,Chinese,Brainverse,Drama,Weston Scrogges,Peso,4.2
206,"Puerta de Hierro, el exilio de Per??n",08-06-1980,06-08-1980,257,Mexico,Chinese,InnoZ,Drama,Frasier Thurgood,Peso,7.8
207,Looney Tunes: Back in Action,06-03-1922,03-06-1922,132,China,English,Buzzster,Drama,Elnora McCoughan,Yuan Renminbi,4.7
